# source: /Users/mac/Documents/MOF/img/anie.202308034/anie.202308034_s22.png
# doi: 10.1002/anie.202308034  figure: Figure S22
# legend: Pristine MOF  (match: colour+geometry)
# x: 2θ (Degree)   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
5.2055,0.035782
5.2740,0.035782
5.3425,0.035782
5.4110,0.035782
5.4795,0.037665
5.5479,0.035782
5.6164,0.035782
5.6849,0.035782
5.7534,0.035782
5.8219,0.035782
5.8904,0.035782
5.9589,0.035782
6.0274,0.035782
6.0959,0.035782
6.1644,0.035782
6.2329,0.035782
6.3014,0.035782
6.3699,0.035782
6.4384,0.035782
6.5068,0.035782
6.5753,0.035782
6.6438,0.035782
6.7123,0.035782
6.7808,0.035782
6.8493,0.035782
6.9178,0.035782
6.9863,0.035782
7.0548,0.035782
7.1233,0.035782
7.1918,0.035782
7.2603,0.035782
7.3288,0.035782
7.3973,0.035782
7.4658,0.035782
7.5342,0.035782
7.6027,0.035782
7.6712,0.035782
7.7397,0.035782
7.8082,0.035782
7.8767,0.035782
7.9452,0.035782
8.0137,0.035782
8.0822,0.035782
8.1507,0.035782
8.2192,0.035782
8.2877,0.035782
8.3562,0.039548
8.4247,0.041431
8.4932,0.041431
8.5616,0.039548
8.6301,0.047081
8.6986,0.048964
8.7671,0.048964
8.8356,0.048964
8.9041,0.047081
8.9726,0.039548
9.0411,0.035782
9.1096,0.035782
9.1781,0.037665
9.2466,0.037665
9.3151,0.035782
9.3836,0.035782
9.4521,0.047081
9.5205,0.060264
9.5890,0.071563
9.6575,0.073446
9.7260,0.073446
9.7945,0.071563
9.8630,0.069680
9.9315,0.043315
10.0000,0.043315
10.0685,0.041431
10.1370,0.035782
10.2055,0.035782
10.2740,0.035782
10.3425,0.035782
10.4110,0.035782
10.4795,0.035782
10.5479,0.037665
10.6164,0.037665
10.6849,0.037665
10.7534,0.037665
10.8219,0.037665
10.8904,0.035782
10.9589,0.035782
11.0274,0.035782
11.0959,0.035782
11.1644,0.035782
11.2329,0.035782
11.3014,0.037665
11.3699,0.037665
11.4384,0.039548
11.5068,0.037665
11.5753,0.037665
11.6438,0.035782
11.7123,0.035782
11.7808,0.035782
11.8493,0.035782
11.9178,0.035782
11.9863,0.035782
12.0548,0.035782
12.1233,0.037665
12.1918,0.037665
12.2603,0.037665
12.3288,0.037665
12.3973,0.037665
12.4658,0.037665
12.5342,0.037665
12.6027,0.035782
12.6712,0.035782
12.7397,0.035782
12.8082,0.035782
12.8767,0.035782
12.9452,0.035782
13.0137,0.035782
13.0822,0.035782
13.1507,0.035782
13.2192,0.035782
13.2877,0.035782
13.3562,0.035782
13.4247,0.035782
13.4932,0.035782
13.5616,0.035782
13.6301,0.035782
13.6986,0.035782
13.7671,0.035782
13.8356,0.035782
13.9041,0.035782
13.9726,0.035782
14.0411,0.035782
14.1096,0.035782
14.1781,0.035782
14.2466,0.035782
14.3151,0.035782
14.3836,0.037665
14.4521,0.037665
14.5205,0.037665
14.5890,0.041431
14.6575,0.054614
14.7260,0.086629
14.7945,0.239171
14.8630,0.246704
14.9315,0.250471
15.0000,0.248588
15.0685,0.180791
15.1370,0.065913
15.2055,0.039548
15.2740,0.037665
15.3425,0.035782
15.4110,0.035782
15.4795,0.035782
15.5479,0.035782
15.6164,0.035782
15.6849,0.035782
15.7534,0.035782
15.8219,0.037665
15.8904,0.035782
15.9589,0.039548
16.0274,0.039548
16.0959,0.039548
16.1644,0.037665
16.2329,0.037665
16.3014,0.037665
16.3699,0.037665
16.4384,0.037665
16.5068,0.035782
16.5753,0.037665
16.6438,0.037665
16.7123,0.041431
16.7808,0.043315
16.8493,0.043315
16.9178,0.043315
16.9863,0.043315
17.0548,0.041431
17.1233,0.041431
17.1918,0.043315
17.2603,0.047081
17.3288,0.048964
17.3973,0.048964
17.4658,0.047081
17.5342,0.045198
17.6027,0.037665
17.6712,0.035782
17.7397,0.035782
17.8082,0.035782
17.8767,0.035782
17.9452,0.035782
18.0137,0.035782
18.0822,0.039548
18.1507,0.048964
18.2192,0.056497
18.2877,0.062147
18.3562,0.064030
18.4247,0.064030
18.4932,0.062147
18.5616,0.048964
18.6301,0.037665
18.6986,0.037665
18.7671,0.035782
18.8356,0.035782
18.9041,0.035782
