# paper: 10.3184%2F030823410X12864689639476
# figure: Figure 3  panel: Figure_3_1
# technique: photoluminescence  material: [CuCl2(pyridine-4-carbonitrile)2]n (complex 2)
# series: [CuCl2(pyridine-4-carbonitrile)2]n  (experimental)
# x: (b)   y: data units from y ticks
x,y
296.24217,183.210615
309.60334,3.817639
310.02088,3.817639
310.43841,3.817639
310.85595,3.817639
311.27349,4.369617
311.69102,4.369617
312.10856,5.473574
312.52610,5.473574
312.94363,6.025552
313.36117,6.025552
313.77871,8.785444
314.19624,8.785444
314.61378,7.129509
315.03132,7.129509
315.44885,11.545336
315.86639,11.545336
316.28392,12.925282
316.70146,12.925282
317.11900,14.029239
317.53653,14.029239
317.95407,14.029239
318.37161,14.305228
318.78914,19.825012
319.20668,19.549023
319.62422,22.308915
320.04175,22.308915
320.45929,23.688861
320.87683,23.412872
321.29436,23.964850
321.71190,23.964850
322.12944,31.140569
322.54697,31.140569
322.96451,31.968537
323.38205,31.968537
323.79958,37.488321
324.21712,37.212331
324.63466,36.936342
325.05219,36.936342
325.46973,38.868267
325.88727,38.868267
326.30480,40.524202
326.72234,43.284094
327.13987,44.388050
327.55741,44.388050
327.97495,44.940029
328.81002,51.563769
329.22756,51.563769
329.64509,51.839759
330.06263,51.563769
330.48017,55.427618
330.89770,55.427618
331.31524,55.979597
331.73278,55.703607
332.15031,57.911521
332.56785,58.739489
332.98539,59.843445
333.40292,59.567456
333.82046,58.463499
334.23800,58.463499
334.65553,63.707294
335.07307,63.707294
335.49061,63.707294
335.90814,63.431305
336.32568,65.639218
336.74322,65.915208
337.16075,65.087240
337.57829,65.363229
337.99582,68.399110
338.41336,68.399110
338.83090,69.503067
339.24843,69.503067
339.66597,73.366916
340.08351,71.710981
340.50104,74.470873
340.91858,74.470873
341.33612,76.402797
341.75365,76.402797
342.17119,78.058732
342.58873,78.058732
343.00626,84.958462
343.42380,84.958462
343.84134,88.270332
344.25887,88.270332
344.67641,92.686159
345.09395,92.686159
345.51148,98.757922
345.92902,98.757922
346.34656,99.861878
346.76409,100.413857
347.18163,108.969522
347.59916,110.073479
348.01670,112.005403
348.43424,112.005403
348.85177,116.697219
349.26931,116.421230
349.68685,135.464484
350.10438,135.464484
350.52192,134.084539
350.93946,133.532560
351.35699,137.120420
351.77453,131.876625
352.19207,145.952074
352.60960,145.952074
353.02714,148.159987
353.44468,148.435977
353.86221,148.159987
354.27975,156.991642
354.69729,156.991642
355.11482,159.475544
355.53236,159.475544
355.94990,159.475544
356.36743,159.475544
356.78497,171.619069
357.20251,171.343080
357.62004,181.278691
358.03758,181.278691
358.45511,184.314572
358.87265,183.210615
359.29019,194.526172
359.70772,194.526172
360.12526,196.458096
360.54280,196.458096
360.96033,205.013761
361.37787,205.013761
361.79541,208.049643
362.21294,208.049643
362.63048,218.261243
363.04802,218.261243
363.46555,219.641189
363.88309,219.641189
364.30063,226.540919
364.71816,226.264929
365.13570,228.472843
365.55324,228.196854
365.97077,229.300810
366.38831,229.300810
366.80585,232.060702
367.22338,232.060702
367.64092,248.068076
368.05846,248.068076
368.47599,249.448022
368.89353,249.448022
369.31106,249.448022
369.72860,249.448022
370.14614,255.795773
370.56367,256.071762
370.98121,264.627427
371.39875,264.627427
371.81628,265.455395
372.23382,265.455395
372.65136,265.455395
373.06889,265.455395
375.15658,275.666995
375.57411,275.666995
375.99165,279.254855
